DATE,A021RD3Q086SBEA
1947-01-01,12.45
1947-04-01,13.325
1947-07-01,14.036
1947-10-01,14.507
1948-01-01,14.833
1948-04-01,14.878
1948-07-01,14.731
1948-10-01,14.499
1949-01-01,14.18
1949-04-01,14.03
1949-07-01,13.957
1949-10-01,13.99
1950-01-01,14.222
1950-04-01,14.511
1950-07-01,14.983
1950-10-01,15.703
1951-01-01,17.057
1951-04-01,18.012
1951-07-01,18.553
1951-10-01,18.625
1952-01-01,17.844
1952-04-01,17.543
1952-07-01,17.232
1952-10-01,16.947
1953-01-01,16.793
1953-04-01,16.625
1953-07-01,16.546
1953-10-01,16.548
1954-01-01,16.739
1954-04-01,16.817
1954-07-01,16.923
1954-10-01,16.935
1955-01-01,16.724
1955-04-01,16.734
1955-07-01,16.769
1955-10-01,16.822
1956-01-01,16.872
1956-04-01,17.003
1956-07-01,17.105
1956-10-01,17.265
1957-01-01,17.337
1957-04-01,17.348
1957-07-01,17.247
1957-10-01,17.077
1958-01-01,16.675
1958-04-01,16.501
1958-07-01,16.473
1958-10-01,16.509
1959-01-01,16.529
1959-04-01,16.608
1959-07-01,16.687
1959-10-01,16.849
1960-01-01,16.801
1960-04-01,16.797
1960-07-01,16.882
1960-10-01,16.838
1961-01-01,16.854
1961-04-01,16.836
1961-07-01,16.819
1961-10-01,16.811
1962-01-01,16.619
1962-04-01,16.645
1962-07-01,16.586
1962-10-01,16.672
1963-01-01,16.824
1963-04-01,16.897
1963-07-01,16.996
1963-10-01,17.091
1964-01-01,17.244
1964-04-01,17.331
1964-07-01,17.307
1964-10-01,17.358
1965-01-01,17.498
1965-04-01,17.423
1965-07-01,17.544
1965-10-01,17.729
1966-01-01,17.814
1966-04-01,18.003
1966-07-01,17.955
1966-10-01,18.061
1967-01-01,18.06
1967-04-01,18.014
1967-07-01,18.019
1967-10-01,18.029
1968-01-01,18.149
1968-04-01,18.286
1968-07-01,18.322
1968-10-01,18.451
1969-01-01,18.525
1969-04-01,18.605
1969-07-01,18.74
1969-10-01,19.223
1970-01-01,19.428
1970-04-01,19.653
1970-07-01,20.135
1970-10-01,20.34
1971-01-01,20.854
1971-04-01,20.927
1971-07-01,21.181
1971-10-01,21.492
1972-01-01,21.85
1972-04-01,22.415
1972-07-01,22.782
1972-10-01,23.301
1973-01-01,24.007
1973-04-01,25.909
1973-07-01,27.143
1973-10-01,29.167
1974-01-01,33.755
1974-04-01,37.598
1974-07-01,39.517
1974-10-01,40.792
1975-01-01,41.468
1975-04-01,41.595
1975-07-01,40.672
1975-10-01,40.722
1976-01-01,41.36
1976-04-01,41.977
1976-07-01,42.725
1976-10-01,43.169
1977-01-01,44.703
1977-04-01,45.953
1977-07-01,46.568
1977-10-01,47.043
1978-01-01,47.823
1978-04-01,48.975
1978-07-01,49.784
1978-10-01,50.651
1979-01-01,52.624
1979-04-01,55.364
1979-07-01,59.508
1979-10-01,63.48
1980-01-01,68.83
1980-04-01,71.364
1980-07-01,73.376
1980-10-01,74.63
1981-01-01,76.485
1981-04-01,76.907
1981-07-01,74.883
1981-10-01,75.041
1982-01-01,74.836
1982-04-01,73.535
1982-07-01,72.664
1982-10-01,72.106
1983-01-01,70.583
1983-04-01,70.582
1983-07-01,70.719
1983-10-01,70.277
1984-01-01,70.5
1984-04-01,70.896
1984-07-01,69.632
1984-10-01,68.767
1985-01-01,67.1
1985-04-01,67.381
1985-07-01,67.323
1985-10-01,68.652
1986-01-01,68.806
1986-04-01,66.685
1986-07-01,67.143
1986-10-01,67.96
1987-01-01,69.682
1987-04-01,71.489
1987-07-01,72.214
1987-10-01,73.346
1988-01-01,74.406
1988-04-01,75.743
1988-07-01,74.911
1988-10-01,75.519
1989-01-01,76.72
1989-04-01,77.561
1989-07-01,76.236
1989-10-01,76.64
1990-01-01,77.838
1990-04-01,76.475
1990-07-01,78.702
1990-10-01,83.075
1991-01-01,80.532
1991-04-01,78.31
1991-07-01,77.128
1991-10-01,77.476
1992-01-01,77.827
1992-04-01,78.125
1992-07-01,79.119
1992-10-01,78.487
1993-01-01,78.026
1993-04-01,78.301
1993-07-01,77.604
1993-10-01,77.283
1994-01-01,77.224
1994-04-01,77.942
1994-07-01,79.25
1994-10-01,79.56
1995-01-01,80.235
1995-04-01,81.402
1995-07-01,80.9
1995-10-01,80.175
1996-01-01,80.002
1996-04-01,79.589
1996-07-01,78.789
1996-10-01,78.762
1997-01-01,78.168
1997-04-01,76.546
1997-07-01,76.043
1997-10-01,75.442
1998-01-01,73.578
1998-04-01,72.676
1998-07-01,71.726
1998-10-01,71.674
1999-01-01,71.429
1999-04-01,72.323
1999-07-01,73.203
1999-10-01,74.215
2000-01-01,75.637
2000-04-01,75.713
2000-07-01,76.247
2000-10-01,76.419
2001-01-01,76.145
2001-04-01,74.601
2001-07-01,73.514
2001-10-01,71.771
2002-01-01,71.52
2002-04-01,73.098
2002-07-01,73.727
2002-10-01,74.22
2003-01-01,76.042
2003-04-01,74.846
2003-07-01,75.089
2003-10-01,75.54
2004-01-01,77.315
2004-04-01,78.24
2004-07-01,79.118
2004-10-01,81.069
2005-01-01,81.768
2005-04-01,82.628
2005-07-01,84.268
2005-10-01,85.702
2006-01-01,85.893
2006-04-01,86.937
2006-07-01,87.792
2006-10-01,86.776
2007-01-01,87.343
2007-04-01,88.805
2007-07-01,90.029
2007-10-01,93.362
2008-01-01,96.919
2008-04-01,101.521
2008-07-01,103.888
2008-10-01,92.638
2009-01-01,84.96
2009-04-01,86.115
2009-07-01,88.831
2009-10-01,91.266
2010-01-01,92.689
2010-04-01,92.287
2010-07-01,91.773
2010-10-01,93.863
2011-01-01,97.643
2011-04-01,100.573
2011-07-01,100.453
2011-10-01,100.171
2012-01-01,101.141
2012-04-01,100.354
2012-07-01,98.741
2012-10-01,99.773
2013-01-01,99.928
2013-04-01,98.659
2013-07-01,98.218
2013-10-01,98.013
2014-01-01,99.213
2014-04-01,98.597
2014-07-01,98.005
2014-10-01,96.108
2015-01-01,92.044
2015-04-01,90.826
2015-07-01,89.853
2015-10-01,87.894
2016-01-01,86.334
2016-04-01,86.789
2016-07-01,87.429
2016-10-01,87.664
2017-01-01,88.613
2017-04-01,88.699
2017-07-01,88.755
2017-10-01,89.828
2018-01-01,91.249
2018-04-01,91.522
2018-07-01,91.663
2018-10-01,91.201
2019-01-01,90.151
2019-04-01,90.65
2019-07-01,89.696
2019-10-01,89.375
2020-01-01,89.073
2020-04-01,86.21
2020-07-01,87.902
2020-10-01,88.517
2021-01-01,91.261
2021-04-01,94.04
2021-07-01,95.458
2021-10-01,96.929
2022-01-01,100.058
2022-04-01,103.216
2022-07-01,102.14
