DATE,A455RD3Q052SBEA
1947-01-01,0.167
1947-04-01,0.171
1947-07-01,0.175
1947-10-01,0.18
1948-01-01,0.181
1948-04-01,0.183
1948-07-01,0.186
1948-10-01,0.187
1949-01-01,0.184
1949-04-01,0.181
1949-07-01,0.18
1949-10-01,0.179
1950-01-01,0.178
1950-04-01,0.179
1950-07-01,0.183
1950-10-01,0.188
1951-01-01,0.196
1951-04-01,0.198
1951-07-01,0.198
1951-10-01,0.199
1952-01-01,0.199
1952-04-01,0.198
1952-07-01,0.2
1952-10-01,0.2
1953-01-01,0.199
1953-04-01,0.199
1953-07-01,0.199
1953-10-01,0.198
1954-01-01,0.198
1954-04-01,0.198
1954-07-01,0.198
1954-10-01,0.198
1955-01-01,0.198
1955-04-01,0.198
1955-07-01,0.2
1955-10-01,0.202
1956-01-01,0.204
1956-04-01,0.205
1956-07-01,0.208
1956-10-01,0.209
1957-01-01,0.212
1957-04-01,0.213
1957-07-01,0.214
1957-10-01,0.213
1958-01-01,0.215
1958-04-01,0.215
1958-07-01,0.217
1958-10-01,0.218
1959-01-01,0.218
1959-04-01,0.218
1959-07-01,0.218
1959-10-01,0.218
1960-01-01,0.219
1960-04-01,0.219
1960-07-01,0.219
1960-10-01,0.219
1961-01-01,0.22
1961-04-01,0.22
1961-07-01,0.22
1961-10-01,0.221
1962-01-01,0.221
1962-04-01,0.221
1962-07-01,0.221
1962-10-01,0.222
1963-01-01,0.222
1963-04-01,0.222
1963-07-01,0.222
1963-10-01,0.224
1964-01-01,0.224
1964-04-01,0.224
1964-07-01,0.224
1964-10-01,0.225
1965-01-01,0.226
1965-04-01,0.227
1965-07-01,0.228
1965-10-01,0.228
1966-01-01,0.23
1966-04-01,0.232
1966-07-01,0.233
1966-10-01,0.235
1967-01-01,0.236
1967-04-01,0.236
1967-07-01,0.239
1967-10-01,0.241
1968-01-01,0.243
1968-04-01,0.245
1968-07-01,0.247
1968-10-01,0.25
1969-01-01,0.253
1969-04-01,0.256
1969-07-01,0.259
1969-10-01,0.262
1970-01-01,0.264
1970-04-01,0.268
1970-07-01,0.269
1970-10-01,0.272
1971-01-01,0.275
1971-04-01,0.278
1971-07-01,0.28
1971-10-01,0.281
1972-01-01,0.284
1972-04-01,0.285
1972-07-01,0.288
1972-10-01,0.291
1973-01-01,0.295
1973-04-01,0.3
1973-07-01,0.306
1973-10-01,0.313
1974-01-01,0.319
1974-04-01,0.326
1974-07-01,0.337
1974-10-01,0.348
1975-01-01,0.357
1975-04-01,0.361
1975-07-01,0.368
1975-10-01,0.373
1976-01-01,0.375
1976-04-01,0.378
1976-07-01,0.382
1976-10-01,0.389
1977-01-01,0.394
1977-04-01,0.398
1977-07-01,0.401
1977-10-01,0.411
1978-01-01,0.417
1978-04-01,0.424
1978-07-01,0.431
1978-10-01,0.439
1979-01-01,0.446
1979-04-01,0.457
1979-07-01,0.466
1979-10-01,0.475
1980-01-01,0.487
1980-04-01,0.499
1980-07-01,0.512
1980-10-01,0.524
1981-01-01,0.536
1981-04-01,0.547
1981-07-01,0.557
1981-10-01,0.568
1982-01-01,0.576
1982-04-01,0.583
1982-07-01,0.59
1982-10-01,0.591
1983-01-01,0.592
1983-04-01,0.595
1983-07-01,0.599
1983-10-01,0.603
1984-01-01,0.61
1984-04-01,0.613
1984-07-01,0.617
1984-10-01,0.619
1985-01-01,0.622
1985-04-01,0.625
1985-07-01,0.626
1985-10-01,0.629
1986-01-01,0.631
1986-04-01,0.633
1986-07-01,0.636
1986-10-01,0.637
1987-01-01,0.642
1987-04-01,0.644
1987-07-01,0.646
1987-10-01,0.65
1988-01-01,0.653
1988-04-01,0.658
1988-07-01,0.666
1988-10-01,0.669
1989-01-01,0.674
1989-04-01,0.681
1989-07-01,0.685
1989-10-01,0.688
1990-01-01,0.696
1990-04-01,0.703
1990-07-01,0.708
1990-10-01,0.709
1991-01-01,0.717
1991-04-01,0.722
1991-07-01,0.726
1991-10-01,0.728
1992-01-01,0.728
1992-04-01,0.732
1992-07-01,0.735
1992-10-01,0.739
1993-01-01,0.744
1993-04-01,0.747
1993-07-01,0.751
1993-10-01,0.755
1994-01-01,0.758
1994-04-01,0.76
1994-07-01,0.764
1994-10-01,0.766
1995-01-01,0.768
1995-04-01,0.769
1995-07-01,0.771
1995-10-01,0.771
1996-01-01,0.773
1996-04-01,0.774
1996-07-01,0.772
1996-10-01,0.773
1997-01-01,0.777
1997-04-01,0.776
1997-07-01,0.778
1997-10-01,0.778
1998-01-01,0.778
1998-04-01,0.778
1998-07-01,0.781
1998-10-01,0.782
1999-01-01,0.785
1999-04-01,0.786
1999-07-01,0.787
1999-10-01,0.789
2000-01-01,0.793
2000-04-01,0.8
2000-07-01,0.803
2000-10-01,0.806
2001-01-01,0.815
2001-04-01,0.815
2001-07-01,0.814
2001-10-01,0.813
2002-01-01,0.813
2002-04-01,0.814
2002-07-01,0.818
2002-10-01,0.822
2003-01-01,0.823
2003-04-01,0.823
2003-07-01,0.827
2003-10-01,0.829
2004-01-01,0.834
2004-04-01,0.84
2004-07-01,0.843
2004-10-01,0.851
2005-01-01,0.858
2005-04-01,0.866
2005-07-01,0.877
2005-10-01,0.881
2006-01-01,0.886
2006-04-01,0.893
2006-07-01,0.899
2006-10-01,0.901
2007-01-01,0.907
2007-04-01,0.912
2007-07-01,0.918
2007-10-01,0.921
2008-01-01,0.925
2008-04-01,0.925
2008-07-01,0.935
2008-10-01,0.947
2009-01-01,0.953
2009-04-01,0.946
2009-07-01,0.942
2009-10-01,0.943
2010-01-01,0.946
2010-04-01,0.952
2010-07-01,0.961
2010-10-01,0.969
2011-01-01,0.971
2011-04-01,0.978
2011-07-01,0.984
2011-10-01,0.985
2012-01-01,0.991
2012-04-01,0.999
2012-07-01,1.005
2012-10-01,1.005
2013-01-01,1.013
2013-04-01,1.011
2013-07-01,1.013
2013-10-01,1.018
2014-01-01,1.021
2014-04-01,1.031
2014-07-01,1.035
2014-10-01,1.035
2015-01-01,1.034
2015-04-01,1.04
2015-07-01,1.043
2015-10-01,1.044
2016-01-01,1.035
2016-04-01,1.048
2016-07-01,1.048
2016-10-01,1.059
2017-01-01,1.062
2017-04-01,1.061
2017-07-01,1.068
2017-10-01,1.074
2018-01-01,1.078
2018-04-01,1.091
2018-07-01,1.091
2018-10-01,1.095
2019-01-01,1.102
2019-04-01,1.108
2019-07-01,1.111
2019-10-01,1.114
2020-01-01,1.112
2020-04-01,1.12
2020-07-01,1.129
2020-10-01,1.133
2021-01-01,1.145
2021-04-01,1.168
2021-07-01,1.191
2021-10-01,1.216
2022-01-01,1.252
2022-04-01,1.289
2022-07-01,1.303
